,ind
0,2461
1,4288
2,4303
3,4822
4,5023
5,5053
6,5564
7,5605
8,5706
9,6005
10,7041
11,7475
12,7650
13,8151
14,8265
15,8569
16,8674
17,9010
18,9230
19,9262
20,10267
21,10269
22,10394
23,10989
24,11495
25,11706
26,11829
27,12152
28,12341
29,12645
30,13324
31,13961
32,14159
33,14163
34,14468
35,14643
36,15244
37,15343
38,15503
39,15575
40,15658
41,15700
42,15965
43,16291
44,16900
45,17031
46,17089
47,17205
48,17279
49,17435
50,17475
51,18134
52,18222
53,18357
54,18379
55,18390
56,18455
57,18560
58,18698
59,18823
60,18902
61,18967
62,19016
63,19050
64,19540
65,19638
66,19925
67,20184
68,20301
69,20514
70,20695
71,20861
72,20937
73,20948
74,20960
75,21033
76,21240
77,21259
78,21284
79,21725
80,21982
81,22047
82,22208
83,22302
84,22311
85,22386
86,22427
87,22528
88,22793
89,23269
90,23295
91,23416
92,23638
93,23768
94,23782
95,23798
96,23906
